month,product,region,gross_sales,discounts,net_sales,cogs,marketing_expense,admin_expense,depreciation,ebitda,operating_cash_flow,capex,financing_cash_flow,cash,accounts_receivable,inventory,accounts_payable,debt,gross_profit,gross_margin_%,operating_expenses,ebit,ebitda_margin_%,net_sales_mom_growth_%,ebitda_mom_growth_%,free_cash_flow,capex_to_sales_%,working_capital,net_debt,budget_net_sales,net_sales_variance,net_sales_variance_pct
2022-04-01,Snacks,North,2393930.0,169761.35899006872,2224170.0,1333300.0,0.0,122234.0,35215.7,608161.0,434931.37991496513,-621615.0,-159704.0,9905220.0,3800680.0,4929260.0,2793730.0,4964980.0,890870.0,40.05404263163337,122234.0,572945.3,27.34327861629282,0.0,0.0,1056546.379914965,-27.948178421613456,5936210.0,-4940240.0,0.0,2224170.0,0.0
2022-04-01,Beverages,West,1522140.0,131491.69681456964,1390650.0,845258.0,128908.95470102275,44560.6,20366.5,371926.0,173162.25414911675,-402777.0,116392.0,9087510.0,2362820.0,3410010.0,1898190.0,4302620.0,545392.0,39.21849494840542,173469.55470102275,351559.5,26.744759644770433,-2.2376413025139152,-13.202800466744458,575939.2541491168,-28.963218638766048,3874640.0,-4784890.0,0.0,1390650.0,0.0
2022-04-01,Snacks,South,1519530.0,97050.20656758617,1422480.0,786720.0,133543.55947328534,73717.3,21918.7,428500.0,338118.0574543595,-499885.0,44473.0,6262220.0,3740640.0,4312090.0,1561210.0,5833630.0,635760.0,44.69377425341657,207260.85947328532,406581.3,30.12344637534447,-0.0639318809321443,18.527329055100683,838003.0574543595,-35.14179461222653,6491520.0,-428590.0,0.0,1422480.0,0.0
2022-04-01,Snacks,East,1573720.0,0.0,1423390.0,868415.0,128476.71494005436,64976.9,27167.5,361520.0,193239.62612493947,-564759.0,246831.0,9407930.0,2922700.0,3839000.0,1792240.0,4067220.0,554975.0,38.98966551682954,193453.61494005437,334352.5,25.398520433612713,-47.565000847276565,-45.06317764962427,757998.6261249394,-39.67703861907137,4969460.0,-5340710.0,0.0,1423390.0,0.0
2022-04-01,Snacks,West,2886970.0,172394.75699962815,2714580.0,1701190.0,248653.70345326385,106665.0,43367.6,658065.0,528546.6371602804,-791166.0,175496.0,7604490.0,3997660.0,4100430.0,2231270.0,4853240.0,1013390.0,37.33137354581556,355318.70345326385,614697.4,24.241871670755696,56.264499156674354,69.38697239110626,1319712.6371602803,-29.14506111442654,5866820.0,-2751250.0,0.0,2714580.0,0.0
2022-04-01,Beverages,South,2687050.0,174784.05838304237,2512270.0,1432760.0,173706.52257073895,92316.3,28003.0,813488.0,701793.8132529578,-871936.0,-161015.0,6603670.0,2717070.0,4598960.0,1623170.0,5088720.0,1079510.0,42.96950566619034,266022.82257073896,785485.0,32.38059603466188,160.43142795833128,174.27477106906366,1573729.8132529578,-34.70709756515024,5692860.0,-1514950.0,0.0,2512270.0,0.0
2022-04-01,Beverages,East,1037060.0,72408.27168438223,964657.0,579412.0,50087.89196199914,38560.5,9649.2,296596.0,18758.326117743734,-567869.0,-151438.0,6303600.0,3205620.0,4513440.0,2832970.0,5802700.0,385245.0,39.93595651096712,88648.39196199915,286946.8,30.746265252830803,-40.76880568330438,-25.804813496401515,586627.3261177437,-58.86745236908041,4886090.0,-500900.0,0.0,964657.0,0.0
2022-04-01,Dairy,West,1801090.0,172461.05199810726,1628630.0,1020240.0,149417.04691289095,59227.4,31953.2,399751.0,194516.2147318424,-409030.0,-297146.0,8586450.0,3759110.0,3356900.0,2774510.0,4022860.0,608390.0,37.35593719874987,208644.44691289094,367797.8,24.545231267998254,-30.44085488775754,-49.99311977102599,603546.2147318424,-25.114973935147944,4341500.0,-4563590.0,0.0,1628630.0,0.0
2022-04-01,Beverages,North,1965340.0,228172.5343733984,1737170.0,1127010.0,126492.2439628571,95168.4,21738.5,388498.0,221859.0598026357,-600245.0,-247982.0,6535960.0,3948360.0,3941730.0,2565870.0,4080410.0,610160.0,35.123793295992904,221660.64396285708,366759.5,22.36384464387481,-30.85257555915566,-52.24293413055878,822104.0598026357,-34.553037411422025,5324220.0,-2455550.0,0.0,1737170.0,0.0
2022-04-01,Dairy,South,1477320.0,173369.20677709408,1303950.0,823505.0,110459.51527612084,47360.7,19792.0,322627.0,139373.56258816988,-684739.0,231376.0,7371520.0,3853230.0,4536670.0,1874950.0,4274480.0,480445.0,36.8453544997891,157820.21527612084,302835.0,24.742283063000883,-11.268151938701909,-14.328921792515958,824112.5625881699,-52.512673031941404,6514950.0,-3097040.0,0.0,1303950.0,0.0
2022-04-01,Dairy,East,1667000.0,197461.06504637995,1469540.0,892455.0,131652.83340020236,68843.1,27588.2,376588.0,182420.9509075864,-526669.0,170693.0,9018630.0,2412120.0,3066660.0,2479600.0,4221240.0,577085.0,39.269771493120295,200495.93340020237,348999.8,25.626250391278905,19.589524910076328,5.686959059732155,709089.9509075864,-35.839038066333686,2999180.0,-4797390.0,0.0,1469540.0,0.0
2022-04-01,Home Care,North,1368610.0,139790.3875643389,1228820.0,744332.0,0.0,43060.5,22588.9,356324.0,266109.61966641486,-415444.0,217591.0,9162700.0,2582560.0,3147910.0,2783760.0,4296500.0,484488.0,39.4270926579971,43060.5,333735.1,28.997249393727316,-38.26514207628311,-50.47933002198608,681553.6196664148,-33.808369004410736,2946710.0,-4866200.0,0.0,1228820.0,0.0
2022-04-01,Home Care,South,2120490.0,130012.9302361534,1990480.0,1098120.0,101218.640471301,71587.5,37790.1,719546.0,536212.7335955441,-433968.0,262443.0,9758060.0,3548600.0,4233940.0,2163850.0,4613330.0,892360.0,44.831397451870906,172806.14047130098,681755.9,36.149371005988506,-23.191677374792107,3.6833702217918596,970180.7335955441,-21.802178369036614,5618690.0,-5144730.0,0.0,1990480.0,0.0
2022-04-01,Home Care,East,2807170.0,215671.9767570177,2591490.0,1521970.0,238764.9528234238,136776.0,30211.2,693984.0,598692.5609629361,-525952.0,-99584.0,8581860.0,2219300.0,3598220.0,1758240.0,4767340.0,1069520.0,41.27046602533678,375540.9528234238,663772.8,26.779343157797253,75.32101154153193,59.77529641993784,1124644.5609629361,-20.295351322984075,4059280.0,-3814520.0,0.0,2591490.0,0.0
2022-04-01,Home Care,West,1661780.0,183649.74899505253,1478140.0,869739.0,92923.18593840068,81123.1,25666.1,434350.0,220210.7162907961,-855862.0,-130329.0,6271060.0,3809910.0,3863870.0,2852070.0,4540920.0,608401.0,41.159903662711244,174046.2859384007,408683.9,29.384902647922388,-33.541950480403926,-28.57976752866428,1076072.7162907962,-57.90128134006252,4821710.0,-1730140.0,0.0,1478140.0,0.0
